id	label	sentence1	sentence2
47	0	我在，花呗里面没有看到退款	我在下个月要还的花呗钱那怎么没看到减退款的钱
48	1	还花呗 微信怎么还	问花呗可以微信还款吗
49	0	花呗买东西最多可以负多少额度	刚开通花呗的额度有多少
50	1	我能够把花呗的账号改到现在这个账号上吗	我可以注销掉一个账号把里面花呗欠的钱转到这个账号里面来还么
51	0	我的借呗额度什么时候恢复正常	什么时候借呗额度恢复
52	0	刚才我的借呗显示我提额给我发短信是不是真的	我借呗填写车牌是我们家的 但不是我名下的
53	1	我莫法使用花呗我还款了	我为什么花呗不能还款
54	1	蚂蚁花呗能不能更改下还款期限	花呗还款日可以更改么
55	0	我如果提前还款，到期还用还吗	如果我再开 额度会变吗 还有放款机构
56	0	花呗为啥支付不了	花呗申请不了
57	1	我怎么把花呗钱还了	我的钱怎么还给花呗
58	1	花呗分期签订成功后怎么使用	怎么操作才能让客户使用花呗分期
59	1	帮我开通花呗，很需要	我要开通蚂蚁花贝
60	1	注销后别的账户可以开通花呗吗	注销支付宝还能在另一个账户开通蚂蚁花呗吗
61	1	花呗支付绑定的邮政储蓄银行卡，能用吗	我想说的是怎么给花呗还款好像是不支持邮政储蓄银行卡支付宝绑定的吗
62	1	花呗能延迟还款嘛	花呗可以延期一天还款吗
63	1	用花呗买了衣服，然后还款了，到后来退货，退回的钱到哪里	已经提前还款，花呗退回的钱到哪里啦
64	1	我的花呗是否还完了	我的花呗，是否也还完
65	0	为什么我的借呗额度小	我的借呗被关停了，什么原因
66	0	在我的里面找不到花呗	我开通过花呗，现在找不到了怎么能找到
67	0	花呗怎么清除还款记录	还款后也不能删除花呗记录吗
68	0	商家收款花呗不够支付	信用卡花呗收款码是支付宝收款码吗
69	0	积分能换花呗免息吗	积分在哪兑换花呗免息券
70	0	支付宝没找到花呗	退回花呗的钱，我在支付宝花呗里面没找到对应显示
71	1	花呗的每月最低还款金额	蚂蚁花呗每个月的最低还款
72	0	花呗为何不能用了	电脑能用花呗嘛
73	1	能提升一下花呗额度吗	我想提高花呗额度
74	0	花呗***分***期每月给多少钱	花呗分期***每个月还多少
75	0	我这怎么没看到有花呗借款	我没有找到蚂蚁借呗有蚂蚁花呗
76	0	我花呗还款后。不能使用了。球你们给开通	花呗开通就是不能用了
77	1	花呗还款日期能延时吗	花呗还款推迟一天还可以吗
78	1	点击进去没有花呗页面	我在我的里面没有找到花呗
79	0	蚂蚁积分换了免费提现额度会不会奖蚂蚁花呗的等级	马姨花呗免费提现额度
80	0	花呗还款了，为什么不能消费了	现在想要再开通花呗，几个月都开通不了
81	1	我想借呗分***期	借呗可以办分期吗
82	1	我花呗做了分期，提前还不了	花呗分期找不到提前还款界面
83	1	今天花呗不能用了	为何我的花呗不能使用了
84	1	我想还蚂蚁花呗的款还不上	我怎么往花呗里还款，还不上晚
85	0	逾期了什么时候才能用花呗	蚂蚁花呗什么时候才可以用
86	0	我开始用借呗了你们停用了	如果停用借呗
87	1	花呗可以透支好多	花呗可以透支的
88	0	借呗逾期还不起ang	借呗可逾期几天
89	0	借呗利息是多少钱	借呗分期多少利息
90	1	可以把以前的花呗手机号码换新的手机号码吗	花呗能不能更换手机号码
91	0	当面付可以用花呗吗	花呗可以在商超使用
92	1	二维码不能用花呗红包	我领到的红包用花呗不能付，咋回事
93	0	上月以还清花呗账单这月怎么还有	花呗账单还清再次购物还会有花呗吗
94	0	花呗什么安全验证不通过是怎么回事	为什么通不了花呗
95	0	花呗收款金额到哪了	花呗在哪里收款
96	0	关掉花呗还款公能	关闭花呗的自动还款
97	0	还花呗，必须用银行卡吗	花呗还款要用银行卡的钱吗
98	1	花呗提前还款后还需要支付分期费用吗	蚂蚁花呗提前还款还用付利息吗
99	0	为什么花呗收款老是失败	打开花呗收款为什么还是用不了
100	0	蚂蚁借呗属于网商贷吗	有网商贷就不会有借呗吗
101	1	为什么我用花呗付款不行？商家支持花呗付款的	为什么我有额度 商家也可以用花呗 但就是购买不了
102	1	房贷已经还了三年了，用蚂蚁借呗，会影响房贷吗	借呗会影响我房贷吗
103	1	花呗能读延时还款	花呗延后两天还款
104	1	借呗提前还款了，给我关了为什么	为啥把借呗给我关了呀
105	1	两个支付宝账户另一个账户花呗注销后什么时候在能申请	关闭一个账户的花呗，另一个什么时候可以开通
106	0	支付宝余额很花呗可以一起支付吗	花呗能支付宾馆吗
107	0	为啥蚂蚁借呗页面没有还款这一项	蚂蚁借呗如果没按时还款怎么办
108	1	花呗会产生蚂蚁森林能量买	用花呗线上支付能生成蚂蚁森林能量吗
109	1	今天从借呗分期借款，第一个还款日是哪天	借呗还款日是多少号
110	1	花呗按时还款的话还会产生手续费吗	花呗按时还款需要额外扣费吗
111	0	花呗我没有银行卡，能还款么	没有银行卡，支付宝有钱，可以还花呗嘛
112	1	问我的借呗什么时候还钱	借呗的还钱日是什么间
113	0	我绑定的花呗手机号换了怎么办	换了绑定手机号码怎么登花呗
114	0	花呗的使用额度用完了怎么办	花呗的额度怎样使用
115	0	花呗分期了还能分期么	我的超出了蚂蚁花呗的余额还可以分期付款了
116	1	***分钟前使用蚂蚁借呗，为什么还不到账	昨晚蚂蚁借呗借钱，今天钱还没到账，是怎么回事
117	1	我的借呗无法使用了	我现在怎么不能使用蚂蚁借呗了
118	0	花呗打开无显示	花呗显示号码不同
119	0	我的花呗无法使用不能在淘宝和支付宝使用	为什么我的花呗不能在淘宝里使用
120	0	为什么有些支付宝的借呗是***的利息	为什么我的借呗利息提高了
121	0	网商贷是不是蚂蚁花呗	借呗和网商贷是互斥的吗
122	1	当时我是用花呗付的款，账单我也结完了，如果商家收到我退回的货，钱给我退到哪里那	我的意思就是我买衣服用花呗付款，然后如果衣服我不喜欢了，我退货退款，钱会返在我的哪里
123	0	我是店里！怎么开通顾客使用花呗	商家的花呗怎么能开通
124	1	花呗还款可以直接在绑定的卡里扣钱是吗	花呗能从银行卡直接扣除还款吗
125	0	蚂蚁借呗可以用邮政银行卡进行款吗	蚂蚁借呗的钱可以晚还一天行不
126	1	花呗从淘宝上怎么用不了	为什么我的花呗有五百 在淘宝上为什么不能使用花呗
127	0	花呗临时额度购买分期商品	用花呗临时额度可以分期嘛
128	0	花呗可以用借呗的钱嘛	花呗额度是负的可以使用借呗吗
129	0	我收款码怎么收不了花呗钱	收钱码不符合花呗收款
130	0	借呗还款当天还可以吗	借呗可以延迟***天吗
131	0	网商贷怎么变成蚂蚁花呗了	如何将网商贷变成花呗
132	1	蚂蚁借呗开通了，怎么不可以使用	借呗怎么借不了钱
133	1	为什么我的花呗用不了为什么我的花呗用不了	我无法使用花呗了
134	1	我的花呗现在不想分期还了，可以一次性还清吗	花呗分期能下个月一次性还款吗
135	0	花呗上有可提额是什么意思	花呗怎么去提额
136	0	花呗分期了一次下月还可以分期吗	蚂蚁花呗分期还下个月还可以用花呗吗
137	1	花呗提前还款怎么还要手续费	花呗分期后提前还清的话，还要交手续费吗
138	0	好像花呗都不能用了	为什么我的花呗，现在订餐用不起了
139	0	为什么我的花呗以九千五降到三千	为什么我的花呗是别的
140	0	使用购物津贴能用花呗付款么	购物津贴可以还蚂蚁花呗吗
141	1	花呗逾期还款之后什么时候可以恢复使用	花呗有逾期就不可以使用了吗
142	0	是借呗好还是网商贷好	网商贷也就***额度
143	1	有一个有花呗一个没有	我的另一个支付宝，有花呗额度，这个支付宝怎么没有
144	0	花呗可以和集分宝一起支付吗	花呗能和账号上已有的钱一起支付吗
145	0	不虚要花呗怎么退	为什么不退花贝
146	1	关闭网商贷，换借呗	网商贷如何换回成借呗
147	1	借呗被关了，怎么还款	怎么还我借呗关了
148	0	借呗银行房贷买房有影响吗	借呗会有影响买房吗
149	0	借呗选择***个月是***个月后还还是每月还	借呗还款不是下一个月
150	0	我的花呗还可以恢复使用吗	为什么我的花呗还用不起
151	1	花呗充值话费退款是什么原因	手机花呗充值后，为何退款
152	1	如何查询花呗剩余所以待还金额	如何查看花呗没还帐单
153	0	花呗升级要多长时间才能正常使用	花呗最长时间可以用多久
154	0	借呗可以代开吗	可以申请借呗延期还款吗
155	1	花呗开通额度低可以取消吗	开通花呗以后能关了吗
156	0	淘宝买东西花呗能用么	在淘宝可以用花呗吗
157	1	密付可以用花呗付钱吗	密付可以改成花呗付款吗
158	0	每月的借呗还款日不是每月的***号呀	蚂蚁借呗每次还款日都是一样的吗
159	0	主动还花呗为什么会有手续费？还是***多	花呗还款是的手续费是什么意思
160	1	为什么花呗绑定银行卡安全初始化失败	我的花呗绑定不了银行卡
161	0	花呗分期可以分期几次还	花呗分期后下个月还可以再分期吗
162	0	为什么借呗关了还能开通	希望以后都不能用借呗了
163	0	花呗全部还完怎么弄	花呗怎么不可以推迟还
164	1	花呗双十一临时额度可以分期付款吗	蚂蚁花呗临时额度可以分期还吗
165	0	借呗免息期	借呗逾期记录
166	0	支付宝信息已经实名认证了，怎么还不能开通借呗	我用支付宝那么多年了，为什么借呗一直开通不了
167	1	蚂蚁花呗提示你有专属提额机会是啥意思	花呗有写专属提额机会什么意思
168	1	我在花呗上买的手机，也是在哪能查看到物流	花呗买的东西在哪查物流
169	1	捡了贝壳怎么用	我的呗壳怎么使用
170	1	就是怎么还款，我可花呗里头花的钱怎么还怎么还款	花呗贷款怎么还款的
171	1	积分兑换花呗免息券怎么样的	悦换花呗免息劵
172	1	我没逾期怎么花呗无法使用	我花呗没逾期，正常还款为什么不给我用了
173	0	我把极速退款支付给了花呗，请退给我	花呗分期付款，退了货不给退钱，几个月里还在分期收款
174	1	花呗怎么少***？为什么	花呗怎么少钱了
175	0	已自动还款额花呗可以取消分期么	我花呗分期的为什么自动取消了
176	0	我花呗***多，可以分期付款	分期付款花呗是否需要全款
177	1	花呗退款后没有额度变化	退款回花呗，怎么余额不变
178	0	借呗 还款。钱在余额宝。怎么没扣	借呗还款日到了，余额宝没钱怎么扣款
179	0	为什么我的支付宝借呗冻结了	我的蚂蚁借呗冻结了怎么办
180	1	我想开通下花呗给申请下呗	我要开通花呗
181	1	在我的里边没有花呗	我我的进去，怎么没有花呗
182	1	借唄可以綁定信用卡嗎	借呗可以绑定信用卡吗
183	1	蚂蚁借呗还有降额度的吗	借呗额度减少吗
184	0	花呗预期***天	花呗过期怎样
185	0	另一个号上的花呗已经关闭，现在用的号怎么开通	另外一个支付宝已关闭花呗 此号怎么开通
186	0	花呗最多可以分期多少	我可以花呗透支吗
187	1	花呗付款后怎么申请退款	花呗买完东西之后退款
188	1	花呗分期怎么申请	花呗分期怎么注册
189	1	借呗***的利息是多少	借呗借款一万块钱，一年多少利息
190	1	花呗抽完奖的奖品	花呗里面的那些礼品，我抽奖的那些利益
191	1	花呗权益-购买短信提醒服务	花呗购买短信服务
192	1	有没有开通花呗	我的手机号有开通过花呗吗
193	0	花呗我己经还清了	查询我的花呗是否还清了没
194	1	我之前的手机没用了，为什么我点花呗还显示之前的号码	为什么我换了绑定的手机号，还花呗的时候验证码还发到原来的手机号上
195	1	我的花呗额度能调高吗	花呗额度怎么提升
196	1	为什么我的花呗付款之后，之间扣的我银行卡里的钱	在蚂蚁花呗扣钱了，我的银行卡里也扣了
197	0	网商贷和蚂蚁借呗一样的吗	网商贷的额度跟借呗额度是一样的吗
198	0	花呗功能障碍怎么办	怎么样提前还花呗
199	0	评估借呗信用	借呗系统评估数据
200	0	为何我没有蚂蚁借呗的信用额度了	为什么我的蚂蚁借呗已经授权了，但是里面显示没有信用额度
201	1	我的花呗上面显示完善信息以后可以额度提升到***,我刚才完善了怎么才比以前的多个***,现在额度是***	我如何让我的花呗额度上升
202	0	花呗只能是自动还款吗	花呗自动还款是还上月花费的所有款吗
203	0	上个月还用花呗交水电费，今天就不支持了	上个月都可以用花呗交电费的
204	0	花呗能缴费么	为什么不能用花呗交暖气费
205	1	花呗在那里可用充话费	花呗，在哪冲话费
206	1	花呗的交易记录咋删除了	如何清除所有花呗交易记录
207	0	我都说了上面显示花呗还清了，为什么短信还叫我还	为什么我花呗账单还完了，借呗上还显示你有账单为还
208	0	我的借呗欠了多少钱	我的花呗一共消费了多少钱
209	0	我的号码现在没有花呗，以前的手机号有，但是以前的手机号停用了	手机号停用了，怎样还花呗的款？一次还完
210	0	我的借呗在那	为什么我的借呗收回去了
211	0	花呗提额怎么 扣我钱	花呗扣了我的钱，为什么没有扣款记录
212	1	花呗收款可以么	直接用收款就能花呗收款吗
213	0	怎样才能把蚂蚁借呗取消	申请了蚂蚁借呗，不想借了怎么取消
214	0	我花呗的额度是多少	我的花呗信誉额度是多少
215	0	为什么蚂蚁借呗期限只有***个月***个月	蚂蚁借呗还款时间怎么只有***个月 ***个月
216	0	餐厅 可以用花呗	我的花呗可以信用住吗
217	0	花呗我都还了为什么还有负面	请帮我查一查我这个月为什么还要还花呗款
218	0	我的口碑付款码为什么不能花呗支付	当面付为什么不支持花呗付款
219	1	查看我的花呗还需要还多少	我想查一下我欠花呗多少钱
220	0	花呗临时额度到了	花呗有了临时额度不能更改额度了怎么办
221	0	开通信花呗信用卡需要什么条件	为什么提示我的账户不符合开通花呗信用卡付款
222	1	如何开通余额宝自动还款花呗	花呗从余额宝自动还款的话，需要开通什么吗
223	1	怎么借呗这么久还没到账	蚂蚁借呗迟迟不到账怎么办
224	0	花呗额度用超了需要马上还掉吗	花呗用超过了额度会怎么样
225	1	请关闭花呗，请关闭花呗，请关闭花呗，谢谢	花呗，如何关闭
226	0	花呗和银行卡一起付款吗	花呗和银行卡一起了付款？怎么回事
227	1	花呗申请了分期可以提前还吗	花呗分期如何提前还清
228	0	我想取消蚂蚁借呗自动还款	蚂蚁花呗怎么取消自动还款
229	1	为什么我有现金贷款资格 借呗开通不了	为什么我开不了借呗呀
230	1	花呗还款 自动吗	花呗会不会自动从余额宝还款
231	0	为嘛我的花呗不能用了	我的花呗被冻了
232	1	蚂蚁借呗影响以后车贷房贷吗	蚂蚁借呗会影响我买房贷款么
233	0	我的这个帐号现在能开通花呗吗	子帐号可以开通花呗吗
234	0	花呗临时额度提前用完了	花呗领了零时
235	1	花呗的信用租手机	有花呗***额度能在乐租预受***的手机吗
236	0	坐公交可以用花呗支付吗	阿瑟曼网咖能用蚂蚁花呗支付吗
237	1	我要用借呗大哥	我如何能使用蚂蚁借呗
238	0	花呗要还款，但是银行卡限额了怎么办	银行卡限额怎么还蚂蚁借呗的钱
239	0	我是全额还款，怎么只还了一半的花呗	我***月的花呗还上了吧
240	1	花呗可以提前还分期的么	蚂蚁花呗如何提前结束分期付款
241	1	花呗是以前号，现在已换号，能改过来吗	我的花呗有个号注册过，现在想换号码怎么换
242	1	无法使用花呗。添加银行卡也不行是啥意思	干啥叫我添加银行卡 而且添加了也不能用花呗
243	1	我现在开通花呗什么时候才还款	如果今天开始使用花呗，啥时候还款
244	0	我花呗钱用在哪里了	在淘宝用花呗买的东西，退款了，钱退在哪里了
245	0	怎么关闭花呗免密支付	花呗可以免密支付
246	0	为什么我无缘无故用不了花呗了	为什么我的用不了花呗付款
247	1	开通花呗可以直接微信支付吗	花呗还款可以用微信支付吗
248	0	还花呗的手续费是什么	为什么花呗还款要被扣***的手续费
249	0	蚂蚁花呗一次能收多少钱	花呗最多一天能消费多少
250	0	但是改了看不了花呗，说还是之前号码	花呗号码是以前号码，现在如何改
251	1	身份证过期能用借呗借款吗	身份证过期了借呗不能用了吗
252	0	如何设置花呗顺序	在哪里设置借呗还款顺序
253	0	我的花呗显示的换个手机号登录	我的花呗要换一个号码
254	1	花呗支付怎么用	怎么用了花呗
255	0	有保险可以开通借呗吗	借呗有额度就可以使用吗
256	1	怎么支付宝花呗显示以前手机号花呗	我的花呗怎么还是以前的号码
257	0	花呗逾期还上还能开通吗	花呗逾期后还可以重新使用吗
258	1	花呗最后还款日期是几号几点	花呗还款日***号，是否包括***号
259	1	花呗别人可以代还吗	可以找别人代还花呗吗
260	1	我今天要用花呗那么什么时还款	***月***日花呗什么时候还
261	0	蚂蚁借呗总是提醒无信用额度，什么意思	蚂蚁借呗怎么申请不了额度
262	0	支付宝余额也不显示了吗	如果不能解绑，我的支付宝花呗都不能用了
263	0	花呗提额不出	花呗可以提额度的吗
264	0	花呗无法绑定快捷支付	调花呗快捷支付
265	1	花呗用了钱可以现在把它还了吗	如果今天用花呗买了东西，可以第二天就还清花呗吗
266	0	我的支付宝号码是朋友的我一打开花呗就闪退	我的支付宝里就没有花呗这个应用
267	1	蚂蚁借呗可以晚还几天	蚂蚁借呗我可以延长还款日期吗
268	0	蚂蚁借呗和网商贷有何不同	问的是网商贷不是借呗
269	1	花呗可以用于支付实体商店吗	我的花呗能上实体店花吗
270	1	花呗可以从另外一个支付宝移到这个支付宝吗	想把花呗转移到现在这个支付宝账号可以吗
271	0	蚂蚁借呗能借笔款	开个蚂蚁借呗贷款
272	1	我刚用花呗支付订单，我这边支付成功，对方以未收到款取消订单，怎么回事，我的钱	我有一个账单，我这块花呗已经付款成功了。然后对方没有接收这个钱，还会退回来不
273	1	我进了的没有花呗	为什么我花呗没有
274	0	花呗不花有费用吗	花呗乱收费
275	1	为什么支付宝号码和花呗号码不一样	花呗账号是不是支付宝的账号
276	0	我的花呗支付是不是有限制	花呗付款有什么限制
277	0	花呗已经还款了怎么还提醒我还	花呗没有提醒还款 还用还吗
278	1	借呗还款分期只能六个月了吗	为什么借呗最多只有***个月了
279	1	为什么我的花呗迟迟不提额度	我的花呗怎么不提升额度，已经好几个月了
280	0	花呗白条开通	开通花呗收钱显示不符合条件
281	1	提前还***期花呗	如何花呗提前还款
282	0	提示可申请借呗，为什么又开通不成功	为什么现在借呗要申请
283	0	为什么我的口碑花呗收不了	为什么我的花呗口碑里面都不能付款
284	0	支付宝二维码怎么收花呗额度	用花呗是不是送支付宝收钱码
285	0	借呗借的频繁会有什么影响吗	借呗逾期一天 还款有什么影响
286	0	花呗老刷脸	每次花呗都要刷脸吗
287	0	账户不能开通信用卡和花呗收款	收钱码为什么不能开通信用卡，花呗
288	1	已经还过花呗了 为什么订单显示没有还	为什么，我还了花呗，我这边还显示未还款
289	0	为什么不能申请借呗家装额度	蚂蚁借呗分期租房，为什么我的额度有近三万，但是不能分期租房
290	1	借呗额度怎么主动提高	我有急用，现在想提升借呗额度，怎么提升
291	1	我在淘宝上买个东西，用花呗买了，但是手机上面显示签收了，但是我没有收到货物，钱划了	我这是订了什么单，货没收到钱花呗显示扣***元
292	0	我借呗可以选择还款分期吗	为什么我把借呗的欠款还完就没有额度了
293	0	咋要我还款，我没用花呗	我的花呗已经还过款了，怎么今天有提示要还款
294	1	使用花呗，需要付手续费吗	使用花呗付款需要收手续费吗
295	0	更改花呗绑定的账号	怎么更改我的花呗
296	1	实体店怎么开通花呗收款	开通花呗收款
297	1	花呗可否转到另一个支付宝账户	我想让另一个账号登入花呗
298	1	我说我的花呗什么时候灰复	花呗还钱进去，什么时候才能再用花呗
299	1	蚂蚁借呗是否与花呗不可同时使用	花呗和借呗能同时使用吗
300	0	使用花呗为什么有短信提醒	花呗消费设置短信提醒
301	1	花呗额度能提升吗，我想分期买个手机额度不够	我想再提升一下花呗额度
302	1	信用度和花呗是多少才能用	多少信用分开花呗
303	1	借呗为什么提前还款后还有欠费	为什么我提前还款 还显示再还款
304	1	如何进行 花呗 还款分期	如何花呗分期
305	0	芝麻信用是不是要取消授权借呗了	我没取消授权，我的借贝怎么不见了
306	1	蚂蚁借呗***号还款，可不可以推迟两天，***号还	借呗可以推迟还吗
307	0	我刚刚提前还了花呗的款项	花呗提前还款能不能退回
308	0	我的花呗不能分期付款了？为什么	我的就不可以用花呗
309	0	花呗有什么用吗	经常用花呗有什么用
310	0	借呗如何能分十二期	蚂蚁借呗借***能不能办分期还
311	0	***号还款日还清花呗就不算逾期吧	我的支付宝花呗逾期***天还了还可不可以用
312	1	花呗额度是一月评估一次吗	花呗额度多久重新评估
313	0	我已经还完花呗的款了，为什么还显示未还款	退款已到花呗，为什么花呗账单里还有还这笔钱
314	0	花呗多笔分期，可不可以把一笔提前结清	花呗分期后能不能提前一次全部结清
315	0	网商贷和蚂蚁借呗	网商贷为何会变成蚂蚁借呗
316	0	我签约花呗分期线下服务商具体该怎么操作	怎么签约花呗分期商
317	0	花呗怎么还要扣我钱	***月的花呗账单我以还清，怎么还提示我需要还款的
318	1	用花呗付款还可以使用购物津贴吗	使用购物津贴是不是就不能用花呗付款
319	1	美团外卖订单我支付了三次都是显示我未支付 我以为我卡了 就支付三次***次银行卡 ***次花呗 外卖订单还是没有成功 但是却支付宝三次扣款	花呗买的美团外卖付款成功、美团显示未付款
320	0	我花呗怎么不能用	这个商户显示花呗怎么不能用
321	1	蚂蚁借呗的额度为什么会下降	为什么借呗额度被降低了，没有不良记录
322	1	蚂蚁借呗，还款日到了，移动从余额宝余额扣出么	蚂蚁借呗可以余额宝还吗
323	0	如何撤回让好友帮我还花呗	还花呗撤销
324	1	开通花呗刷脸一直不通过	开通花呗说验证未通过
325	1	使用花呗，还款日期没有钱还款会怎样	不还花呗钱会咋样
326	0	怎样设置花呗下个月自动还款	如何开通余额宝自动还款花呗
327	1	可以提前还完借呗吗	提前还款 借呗
328	0	我下载的支付宝，从来都没显示过是支付宝支付的款项，都是花呗支付，这是不是说明我还没有绑定支付宝	支付宝里面的花呗显示的，未出账是不是还没出来
329	1	用花呗每月是自动扣款吗	花呗是不是到期后会自动扣钱
330	0	花呗临时额额	双***没有临时额度花呗
331	1	花呗分完期后提前还款有手续费吗	花呗分期一次性还清能减免手续费吗
332	1	有好几笔花呗分期，可不可以单独选择一笔花呗先还款一期	花呗分期好几笔可以一笔一次还完吗
333	1	蚂蚁借呗履约是什么	什么是蚂蚁花呗履约一次
334	1	蚂蚁花呗预留的手机号不一样怎么改	蚂蚁借呗预留手机变更
335	0	花呗逾期除了利息还有什么费用	如果花呗里面的***用了没还逾期一个月利息是多少
336	1	怎样切换另一个花呗	怎么把原来的花呗账号切换
337	1	没有银行卡能开通花呗	开通花呗，不需要绑定银行卡是吗
338	0	蚂蚁花呗怎么提前一次性还款	花呗想提前一次性全还完
339	0	这个号关闭花呗了。新号还是不能开通花呗	无法开通花呗。补充信息还是不行
340	1	我手机上怎么没有花呗和借呗	从装后没有花呗和借呗了
341	1	己实名为什么借呗不了	全部都实名认证了，为什么还是申请不了借呗那
342	1	蚂蚁借呗还款当日下午三点还款可以吗	今天是借呗还款日，可以超过中午***点
343	1	为什么点花呗 提示登录超时	打开花呗总显示登录超时怎么回事
344	1	使用花呗后抽奖得到的奖品在哪里查看	花呗来抽奖里的奖品在哪看
345	0	我的花呗自动全额还款了，能改成最低还款吗	花呗自动还款和最低额度还款两样都不选可以吗
346	1	借呗还了之后能再借吗	支付宝借呗用完之后还完之后还能再借吗
347	1	注销支付宝后另一个账户可以开通花呗么	我把另一个支付宝的花呗关闭了，可以在其他支付宝开花呗吗
348	1	商家花呗收款如何关闭	商家收款怎么关闭花呗支付
349	1	花呗还款可以更改到***号么	花呗可以改还期日吗
350	1	花呗还款我没支付宝和银行卡怎么办	问下没有绑银行卡怎么还花呗的钱
351	0	怎么查询借呗是否有逾期还款记录	查询借呗分期还款记录
352	1	怎么消除蚂蚁借呗借款记录	怎么把借呗纪录删除
353	0	蚂蚁借呗钱的增长	蚂蚁借呗是怎样评估的
354	1	花呗怎么突然降了	花呗也降了
355	1	蚂蚁借呗里面的钱还清后怎么才能关闭蚂蚁借呗这个功能	关闭蚂蚁借呗
356	0	蚂蚁借呗 日利率为什么有的低有的高 是根据什么算得	蚂蚁借呗为什么利息高
357	0	每月***号之前用了花呗是当月***号之前还吗	我花呗是***号还款的，包含***号当天吗
358	1	花呗会自动扣余额宝中的款么	花呗到期会不会自己在余额宝扣钱
359	1	我提供了营业执照怎么不能花呗收款	花呗收款不能
360	0	蚂蚁积分兑换借呗卷	蚂蚁花呗***积分
361	1	开通花呗后未使用会产生费用吗	不使用花呗收费吗
362	0	我的不是花呗付款	我在花呗里分期付款的 为什么下个月付款
363	0	借呗的钱为什么越来越少	为什么找到借呗图标
364	0	花呗可否在电脑上还款	赶紧给我可以还花呗，开放一下
365	0	借呗申请了没有短信通知	蚂蚁借呗短信通知了 没通过还可以通过那种方式解决
